ORTHO,GPMATCH,LESSON,READING,WRITING
fou,(f-f.ou-u),15,1,0
af,(a-a.f-f),15,1,0
if,(i-i.f-f),15,1,0
of,(o-o.f-f),15,1,0
uf,(u-y.f-f),15,1,0
ouf,(ou-u.f-f),15,1,0
cha,(ch-S.a-a),16,1,0
chi,(ch-S.i-i),16,1,0
che,(ch-S.e-%),16,1,0
cho,(ch-S.o-o),16,1,0
chu,(ch-S.u-y),16,1,0
ach,(a-a.ch-S),16,1,0
uch,(u-y.ch-S),16,1,0
ja,(j-Z.a-a),17,1,0
ji,(j-Z.i-i),17,1,0
je,(j-Z.e-%),17,1,0
jo,(j-Z.o-o),17,1,0
ju,(j-Z.u-y),17,1,0
jou,(j-Z.ou-u),17,1,0
da,(d-d.a-a),18,1,0
de,(d-d.e-%),18,1,0
di,(d-d.i-i),18,1,0
do,(d-d.o-o),18,1,0
du,(d-d.u-y),18,1,0
ad,(a-a.d-d),18,1,0
id,(i-i.d-d),18,1,0
od,(o-o.d-d),18,1,0
oud,(ou-u.d-d),18,1,0
ta,(t-t.a-a),19,1,0
ti,(t-t.i-i),19,1,0
te,(t-t.e-%),19,1,0
to,(t-t.o-o),19,1,0
tu,(t-t.u-y),19,1,0
té,(t-t.é-e),19,1,0
at,(a-a.t-t),19,1,0
it,(i-i.t-t),19,1,0
ot,(o-o.t-t),19,1,0
ut,(u-y.t-t),19,1,0
pa,(p-p.a-a),20,1,0
pi,(p-p.i-i),20,1,0
pe,(p-p.e-%),20,1,0
po,(p-p.o-o),20,1,0
pu,(p-p.u-y),20,1,0
pé,(p-p.é-e),20,1,0
ap,(a-a.p-p),20,1,0
ip,(i-i.p-p),20,1,0
op,(o-o.p-p),20,1,0
up,(u-y.p-p),20,1,0
ca,(c-k.a-a),22,1,0
co,(c-k.o-o),22,1,0
ac,(a-a.c-k),22,1,0
ic,(i-i.c-k),22,1,0
oc,(o-o.c-k),22,1,0
uc,(u-y.c-k),22,1,0
ba,(b-b.a-a),24,1,0
bo,(b-b.o-o),24,1,0
bu,(b-b.u-y),24,1,0
bi,(b-b.i-i),24,1,0
bé,(b-b.é-e),24,1,0
bou,(b-b.ou-u),24,1,0
bè,(b-b.è-E),24,1,0
ab,(a-a.b-b),24,1,0
ib,(i-i.b-b),24,1,0
ob,(o-o.b-b),24,1,0
ub,(u-y.b-b),24,1,0
ga,(g-g.a-a),25,1,0
go,(g-g.o-o),25,1,0
gu,(g-g.u-y),25,1,0
gou,(g-g.ou-u),25,1,0
gui,(gu-g.i-i),25,1,0
guy,(gu-g.y-i),25,1,0
gué,(gu-g.é-e),25,1,0
gue,(gu-g.e-%),25,1,0
es,(es-E),28,1,0
les,(l-l.es-E),28,1,0
des,(d-d.es-E),28,1,0
tes,(t-t.es-E),28,1,0
ses,(s-s.es-E),28,1,0
mes,(m-m.es-E),28,1,0
ka,(k-k.a-a),32,1,0
ko,(k-k.o-o),32,1,0
ki,(k-k.i-i),32,1,0
zo,(z-z.o-o),35,1,0
zu,(z-z.u-y),35,1,0
az,(a-a.z-z),35,1,0
iz,(i-i.z-z),35,1,0
oz,(o-o.z-z),35,1,0
uz,(u-y.z-z),35,1,0
bon,(b-b.on-§),26,1,0
son,(s-s.on-§),26,1,0
mon,(m-m.on-§),26,1,0
ton,(t-t.on-§),26,1,0
oi,(oi-wa),21,1,0
poi,(p-p.oi-wa),21,1,0
soi,(s-s.oi-wa),21,1,0
roi,(r-R.oi-wa),21,1,0
oir,(oi-wa.r-R),21,1,0
dè,(d-d.è-E),23,1,0
mè,(m-m.è-E),23,1,0
pè,(p-p.è-E),23,1,0
tê,(t-t.ê-E),23,1,0
bê,(b-b.ê-E),24,1,0
que,(qu-k.e-%),27,1,0
qui,(qu-k.i-i),27,1,0
an,(an-@),30,1,0
ban,(b-b.an-@),30,1,0
tan,(t-t.an-@),30,1,0
man,(m-m.an-@),30,1,0
en,(en-@),29,1,0
au,(au-o),31,1,0
ign,(i-i.gn-N),52,1,0
ogn,(o-o.gn-N),52,1,0
agn,(a-a.gn-N),52,1,0
oin,(oin-w5),36,1,0
ain,(ain-5),34,1,0
lai,(l-l.ai-E),33,1,0
fai,(f-f.ai-E),33,1,0
ai,(ai-E),33,1,0
ci,(c-s.i-i),38,1,0
cy,(c-s.y-i),38,1,0
ce,(c-s.e-%),38,1,0
iç,(i-i.ç-s),38,1,0
ça,(ç-s.a-a),38,1,0
ço,(ç-s.o-o),38,1,0
pem,(p-p.em-@),40,1,0
tem,(t-t.em-@),40,1,0
lem,(l-l.em-@),40,1,0
mem,(m-m.em-@),40,1,0
ax,(a-a.x-ks),51,1,0
ix,(i-i.x-ks),51,1,0
ox,(o-o.x-ks),51,1,0
ux,(u-y.x-ks),51,1,0
xu,(x-ks.u-y),51,1,0
xi,(x-ks.i-i),51,1,0
xa,(x-ks.a-a),51,1,0
eau,(eau-o),49,1,0
om,(om-§),42,1,0
bom,(b-b.om-§),42,1,0
lom,(l-l.om-§),42,1,0
ge,(g-Z.e-%),44,1,0
gy,(g-Z.y-i),44,1,0
gi,(g-Z.i-i),44,1,0
à,(à-a),1,1,0
ê,(ê-E),23,1,0
è,(è-E),23,1,0
y,(y-i),4,1,0
u,(u-y),7,1,0
ou,(ou-u),12,1,0
o,(o-o),6,1,0
im,(im-5),43,1,0
i,(i-i),4,1,0
eu,(eu-2),39,1,0
et,(et-E),48,1,0
er,(er-e),46,1,0
em,(em-@),40,1,0
e,(e-%),2,1,0
am,(am-@),41,1,0
a,(a-a),1,1,0
